X,Y
36.92856814,-1.414868814
36.93075703,-1.413417889
36.93081967,-1.413275581
36.93074905,-1.413132222
36.93063558,-1.412980562
36.93027511,-1.412745872
36.93014839,-1.412461696
36.92995245,-1.412205274
36.92981124,-1.411962687
36.92962443,-1.411715398
36.92952426,-1.411485735
36.92945373,-1.411215031
36.92928304,-1.411069244
36.92909483,-1.410927958
36.92908726,-1.410903458
36.92901871,-1.410706322
36.92889612,-1.410557099
36.92881099,-1.410415088
36.92869444,-1.410273318
36.92863808,-1.410054537
36.92851178,-1.409891828
36.92844771,-1.409772358
36.9282129,-1.409730978
36.92812344,-1.409590429
36.92803929,-1.409385207
36.92788455,-1.409239439
36.9278053,-1.409239258
36.92777398,-1.409466137
36.92787965,-1.409565019
36.92784124,-1.409759126
36.92789922,-1.409888174
36.92801608,-1.409978666
36.92793926,-1.410048673
36.92795368,-1.410163989
36.92797776,-1.410206841
36.92801272,-1.410281049
36.92807906,-1.41033419
36.92819576,-1.410441526
36.92828228,-1.410463603
36.92829356,-1.410543461
36.92824732,-1.410611274
36.92809788,-1.410729901
36.92794453,-1.410937752
36.92778462,-1.411119311
36.9277161,-1.411298137
36.92780268,-1.411850748
36.92779184,-1.411946026
36.9278593,-1.412337675
36.92792549,-1.412459719
36.92797264,-1.412528427
36.92794678,-1.412667873
36.92795409,-1.412845476
36.92812114,-1.413279373
36.92824936,-1.413675075
36.92822874,-1.41402716
36.92842215,-1.414485957
36.92833146,-1.41470828
36.92848244,-1.414793043
36.92856814,-1.414868814
